EMOTION,TEXT,cleaned_text
sadness,The inability to read a book at college.,inabl read book college.
disgust,If a guy one is not interested in makes advances.,guy one interest make advances.
shame,I drink wine too often.,drink wine often.
guilt,I do not study enough as I do not understand it properly.,studi enough understand properly.
joy,"I worked at a lawyer's office during Summer and I got a very  
good reference from him.",work lawyer' offic summer got good refer him.
fear,"I had been watching a triller a dark night in the country and I  
had to go the outside toilet on my own. ",watch triller dark night countri go outsid toilet own.
anger,"When I am accused of something I have not done, I get unbelievably  
angry.","accus someth done, get unbeliev angry."
sadness,"When I began to read a thick book, which I had a limited time to  
read.  Also when I have a lot of work to do and I cannot keep up.","began read thick book, limit time read. also lot work cannot keep up."
disgust,Someone vomited on the street.,someon vomit street.
shame,"I can not think of any incident when I have felt very ashamed.   
There are small incidents that I am ashamed of, for instance,  
not sending money to the children in Ethiopia.","think incid felt ashamed. small incid asham of, instance, send money children ethiopia."
guilt,"I had lunch with my ex-boyfriend and did not mention it to my  
fiancee.  I felt guilty despite the fact that I felt nothing for  
my ex-boyfriend.",lunch ex-boyfriend mention fiancee. felt guilti despit fact felt noth ex-boyfriend.
joy,When I was finally qualified for my profession.,final qualifi profession.
fear,Someone attacked me with a knife.,someon attack knife.
anger,Someone drove into my car and then denied that it had happened.,someon drove car deni happened.
sadness,When I was told that my friend's wife had cancer.,told friend' wife cancer.
disgust,When I saw a dog which had been knocked down by a car.,saw dog knock car.
shame,When I boxed my child's ears.,box child' ears.
guilt,When I was fined for speeding.,fine speeding.
joy,I stopped working (had a boring job).,stop work (had bore job).
fear,"I was going home by car late one night when it was cold, dark and  
windy.  I became rather panicky on the way to my house.","go home car late one night cold, dark windy. becam rather panicki way house."
anger,Quarrel in the family.,quarrel family.
sadness,"When I am alone in a room with no contact with anyone -  
loneliness drains me.",alon room contact anyon - loneli drain me.
disgust,When I was on holiday someone vomited in front of me.,holiday someon vomit front me.
shame,Emptied a bucket of water in a hospital.,empti bucket water hospital.
guilt,When I feigned sick leave from work.,feign sick leav work.
joy,When I get a hug from someone I love.,get hug someon love.
fear,"I was driving very fast on a small road and I met an oncoming car  
in a right handed bend.  The other driver was on his own side of  
the road and I had to skid out of it to avoid a collision.  It  
was dark.",drive fast small road met oncom car right hand bend. driver side road skid avoid collision. dark.
anger,"My car had been towed away by the traffic police because it had  
been wrongly parked.  However the sign had been put up only after  
I had already parked.",car tow away traffic polic wrongli parked. howev sign put alreadi parked.
sadness,After an operation I had to stay in bed for a long time.,oper stay bed long time.
disgust,"I was forced to stay in the canteen and eat the food that I had  
not asked for but got it anyway.",forc stay canteen eat food ask got anyway.
shame,When I did not buy what I had promised to.,buy promis to.
guilt,"By mistake I took a book from the library which was not supposed  
to be loaned out.",mistak took book librari suppos loan out.
joy,When I won an unexpected sum of money.,unexpect sum money.
fear,"My 2 year old daughter disappeared in a moment of inattention; I  
was responsible for her.",2 year old daughter disappear moment inattention; respons her.
anger,"A colleague asked me for some advice and as he did not have  
enough confidence in me he asked a third person.",colleagu ask advic enough confid ask third person.
sadness,"I wanted to be pregnant and did not succeed, so I was depressed     
at every menstruation.","want pregnant succeed, depress everi menstruation."
disgust,"In a warm bus full of people, someone vomited and the whole bus  
stank.","warm bu full people, someon vomit whole bu stank."
shame,"I complained about a colleague's behaviour as she goes back on  
her word, is often absent and is irresponsible.  I found out that  
she was an alcoholic and was trying to fight againt her  
addiction.","complain colleague' behaviour goe back word, often absent irresponsible. found alcohol tri fight againt addiction."
